day,project,outstanding_usd_value
2021-01-22T00:00:00+00:00,MakerDAO,3979799034.245998
2021-05-09T00:00:00+00:00,Aave,16242762245.781685
2021-04-23T00:00:00+00:00,Compound,12882917089.074865
2021-05-19T00:00:00+00:00,Compound,13032398328.174997
2020-12-13T00:00:00+00:00,Compound,3417421672.1975417
2021-01-14T00:00:00+00:00,Compound,4693906219.313921
2021-02-26T00:00:00+00:00,Aave,5794628660.080871
2021-04-07T00:00:00+00:00,Compound,13451998982.266851
2021-01-13T00:00:00+00:00,Aave,3076046790.1815705
2021-04-05T00:00:00+00:00,Compound,13346454436.925913
2021-05-17T00:00:00+00:00,Aave,16034921503.940228
2020-12-04T00:00:00+00:00,Aave,2014158941.287058
2020-12-17T00:00:00+00:00,Aave,2068677191.0526266
2021-03-26T00:00:00+00:00,Aave,6901324496.848081
