day,cumulative_volume
2021-04-18T00:00:00+00:00,39867839455.05859
2021-04-19T00:00:00+00:00,40807591588.75615
2021-04-20T00:00:00+00:00,41052083008.85988
2021-04-21T00:00:00+00:00,41214406168.598
2021-04-22T00:00:00+00:00,41375148739.2068
2021-04-23T00:00:00+00:00,41543779042.34115
2021-04-24T00:00:00+00:00,41672937334.962776
2021-04-25T00:00:00+00:00,41763234927.91592
2021-04-26T00:00:00+00:00,41996577106.36119
2021-04-27T00:00:00+00:00,42232073748.08355
2021-04-28T00:00:00+00:00,42432624081.23123
2021-04-29T00:00:00+00:00,42563154079.42102
2021-04-30T00:00:00+00:00,42685744705.84788
2021-05-01T00:00:00+00:00,42840313802.07209
2021-05-02T00:00:00+00:00,42922670217.68522
2021-05-03T00:00:00+00:00,43133182521.84704
2021-05-04T00:00:00+00:00,43485823089.81208
2021-05-05T00:00:00+00:00,43655811086.33602
2021-05-06T00:00:00+00:00,43886050644.679955
2021-05-07T00:00:00+00:00,44098527977.30859
2021-05-08T00:00:00+00:00,44236749282.450554
2021-05-09T00:00:00+00:00,44346314488.516716
2021-05-10T00:00:00+00:00,44517213951.37808
2021-05-11T00:00:00+00:00,44733760791.91555
2021-05-12T00:00:00+00:00,45030127024.40517
2021-05-13T00:00:00+00:00,45344182088.40652
2021-05-14T00:00:00+00:00,45793363482.24556
2021-05-15T00:00:00+00:00,45971729296.584366
2021-05-16T00:00:00+00:00,46279722656.19142
2021-05-17T00:00:00+00:00,46645864223.16335
2021-05-18T00:00:00+00:00,46858408158.00942
2021-05-19T00:00:00+00:00,46883046294.23874
