date,treasury_rfv,ohm_staked_amount,10k_apy,20k_apy,50k_apy,70k_apy,100k_apy
2021-05-07T00:00:00+00:00,3664511.0903268335110015194242510885518589317709079442119113340533811778338721464364,158580.2699722430000000000000000000,248.8875139105888795561853732958101431470763992755028551034979380213804661359513,216.3270502406241325384815313462130151500028122382100047013440888148445791701203,184.4313396223813140499395458545916947227180247453263562380358294351821382738558,174.9589072038648441170826469775417809827175335222471148678971809582501845526688,165.9250367439044066182372283916963761653041865464298236562769090649177902884519
2021-05-06T00:00:00+00:00,3536779.9918766019534985999177434001907777225024136632889712365053190062596766625600,154831.7323662390000000000000000000,247.9715798742611821505194296100587072502632001035029216468366056600034951968468,215.5309423717298321897458130339554772703998781003452282937660371541034575632694,183.7526115549446408650698883159749187806044017508908104668956437450611195657206,174.3150387528171632716460936021107166125301490887915735638697049646866490418709,165.3144139519259294109500963444542946563280254249311223395835870891865444431378
2021-05-05T00:00:00+00:00,3309065.4567847334867564047936985346790147475402276182134404028437579840164658815056,151593.2020844330000000000000000000,244.3722336446384960186521487375694560847191139777547441622116177614636099143237,212.4024770645922975339408516798593466838809584045214499964403679343938641655855,181.0854136852573874733052503397719658879998527875808932060917236595580229139774,171.7848287270568301943411394786162983650588306558124861591025700847770861053683,162.9148494015775911691541006981304891226216668958093133982016118989942943863709
2021-05-04T00:00:00+00:00,3278535.8455061615200599558322019797049773393778750275819239340093917286439907384226,148932.6553044120000000000000000000,245.0409817482565552437134828502019858672318980864324368079068723629526606123049,212.9837368567636199590972671548489408195085223673751495821543604057020124265091,181.5809713236550858594573414613556296371385086087089189958124301056603906582052,172.2549344208511170872740341582665665986176511075335756120137820379882253742054,163.3606815444672711222960284395637703406671156870801526610624034713839052748109
2021-05-03T00:00:00+00:00,3251259.8176675098736992623939079161431571078278707172626442278861546632776195803068,146293.8517048770000000000000000000,245.7957286371187333406459480477933671804503687341114446934797299085821507477848,213.6397447278715999217976844845551372939968766856644855291725994844223943405104,182.1402560286269966860386189890089357375758671768630952454310275629524103558110,172.7854941456683349159781876744850101734117606556378826347974212244013233889908,163.8638462203448764316402148726084828298754824854062114310137557404949228628214
2021-05-02T00:00:00+00:00,3224981.5968647030191197738019112587105277763845063051988296888493280609397505660244,143057.6991558380000000000000000000,246.9254773746030559600162005536872943359837573509280420771377431762352013635253,214.6216952004085630874553739534502214119027806046555041147695152261185601475559,182.9774256793543525487087156090386788318312705121740354063260461444868089263034,173.5796665869431949846077999045931408049872302530780309211298693546627718957757,164.6170121700268972648821762048020591097529731702469016113392902437498915136912
2021-05-01T00:00:00+00:00,3111432.4772195878046344391984354428210415347357246834788062363807185677743973432514,137202.1720708750000000000000000000,247.3969459601122912028256601869611069581702053225842366269934459410409801953446,215.0314843729621209019468877445936443194522453992588395158999695858357043564901,183.3267946832432939785543789858319561244676529979278597185023110106407589517714,173.9110919252640270092368067395931297500213332200101210720252453151852321759024,164.9313246124032533643702265890520571912665371624660924125478149673200151109177
2021-04-30T00:00:00+00:00,2978219.4911285774320140494957173406224602710547368504851145605777783942962503086944,133844.6971091560000000000000000000,245.8924409051862294548524183665627323088830600178983596447152946641136232471751,213.7238047088019323207214242503539435023286966500005586684243987760304615143891,182.2119220309802320386691503499917116290658709876795608184116938919583895916915,172.8534793670578457961429426815754261366964542108305093559987559380368970030217,163.9283210763975203368268119112893882485244699665444514277686848715849542056633
2021-04-29T00:00:00+00:00,2964232.1389987706946677020360803755680007779143319034798121682176976842967567614400,131718.7261683910000000000000000000,246.7883623180888202020498140989617474534366466477800313498678418345905034607921,214.5025180860035517722340809589566541975366708828103558189894026621618838289324,182.8758202867897272519767986966825067922050050570420392152384404258082217558198,173.4832796687246100212393877081063977048171519729507182699883568247384590553152,164.5256021172170959156298341288822502797278294136811747954808130480999689960065
2021-04-28T00:00:00+00:00,2807361.4051110445857045396806183295768884033160073174216697994926548222504805506864,126084.6507083300000000000000000000,245.9436455001333570379655586946865012627638532008119604330070715917945216460566,213.7683105130893157010593403963578362192237058536406172318937396359280584484808,182.2498658068351861484162501034554367814945683004896941899290913392252687613778,172.8894743425992236275415218265343697054941376402484274088306057006218259374530,163.9624574786804852432983821076334786327997727373400379443408070203538167894345
2021-04-27T00:00:00+00:00,2730014.6979671583417952223094850961630564532224938745710273575254459552228077634856,124166.9611129190000000000000000000,244.9440613060949730971545797882670309968969244818293330822545142063336726747098,212.8994959359098556294857555694615968337311643663569978065090804092430688795228,181.5091510595373943143342185303399399096268239252743797013239450769714163066882,172.1868028606138384919159340014724533412976368565017875588768534523300374657478,163.2960679056622599663662046476998153977052958361170313354717360074783199305209
2021-04-26T00:00:00+00:00,2708419.0345378602208179025134302487885577844173252538331888954424796491173164127424,120862.5386290380000000000000000000,246.4524628951405890391652746631616021937079825844847165431957749280729903053508,214.2105623739543617723441453985594711007255557583090503893419272425572610592239,182.6269111326929798689322176194116088065706678424790158333158932278191275941411,173.2471545411678152775714959812279242715659767636047321843666769039456126529365,164.3016691315110968517075138977079983745240917564264891791307315938718877034995
2021-04-25T00:00:00+00:00,2407747.5660173135286210609198450700282160896622624514361826447620494929221167417818,118431.9130370520000000000000000000,238.7360075747598394023710291375632878267770894441945380392603205393612218257811,207.5036047144744474341818753205329588735157205456093131738444309060956156737129,176.9088412724856402575883986977120705602384152156894822818626803348665741708023,167.8227659524085358435552426718812101772010887729784715361386013415468941756427,159.1573647329110507534571717527178449795187555218201474816034088669445008237431
2021-04-24T00:00:00+00:00,2037407.2207650767298010778057125180098372197119361522192209635812893791131453501516,115189.2347483520000000000000000000,227.6990875883187388682243629560327118986877570195796008061238821864337189310092,197.9105789057698944169417387751208398078870009347133666414977375166282019650488,168.7302311589400267387970733829557354315966603035022803983759167878273836384433,160.0642109755689550705153105323107310485903243567045702294919424781115635437162,151.7994168571182341834939389166655972223284999243042806769633930200944403223431
